V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,nokken_poole_dim1,nokken_poole_dim2
112,14400,akaka,0,11,100,17,-0.458,0.178,0.028,0.128,0.1,-37.95071,402,12,0.91,-0.45,-0.008
112,40304,alexander,0,42,200,23,0.294,-0.419,0.03,0.068,0.363,-98.08627,398,38,0.782,0.311,-0.217
112,41106,ayotte,0,29,200,71,0.48,-0.362,0.036,0.084,0.325,-89.61012,408,44,0.803,0.425,-0.444
112,14203,baucus,0,26,100,128,-0.186,0.37,0.066,0.067,0.46,-93.47071,406,43,0.794,-0.253,0.131
112,14912,bingaman,0,31,100,188,-0.353,0.186,0.029,0.09,0.219,-53.12476,406,18,0.877,-0.301,-0.144
112,29735,blunt,0,25,200,210,0.393,0.608,0.04,0.229,0.057,-122.34139,405,52,0.739,0.361,0.495
112,15011,boxer,0,5,100,242,-0.485,-0.129,0.033,0.281,0.132,-55.6407,378,19,0.863,-0.471,-0.502
112,29389,brown,0,35,100,290,-0.501,0.15,0.031,0.126,0.298,-48.44474,405,21,0.887,-0.403,-0.277
112,29548,burr,0,33,200,351,0.553,-0.165,0.03,0.105,0.358,-93.58216,388,38,0.786,0.486,-0.147
112,20101,boozman,0,4,200,222,0.448,0.256,0.034,0.196,0.015,-79.74413,402,35,0.82,0.408,0.233
112,40707,barrasso,0,51,200,100,0.583,0.211,0.043,0.257,0.08,-85.92273,400,37,0.807,0.49,0.242
112,40900,begich,0,2,100,147,-0.278,0.29,0.041,0.089,0.346,-85.12398,403,38,0.81,-0.267,0.268
112,40910,bennet,0,6,100,159,-0.248,0.231,0.042,0.081,0.439,-57.98129,404,22,0.866,-0.225,-0.199
112,40913,brown,0,21,200,290,0.096,-0.448,0.031,0.128,0.544,-113.03469,407,50,0.758,0.083,-0.396
112,41101,blumenthal,0,7,100,209,-0.418,0.143,0.049,0.149,0.3,-42.27194,397,16,0.899,-0.372,-0.127
112,39310,cantwell,0,48,100,417,-0.352,-0.261,0.031,0.259,0.166,-75.11366,408,27,0.832,-0.353,-0.59
112,15408,cardin,0,20,100,425,-0.454,-0.049,0.028,0.215,0.27,-40.94713,409,13,0.905,-0.406,-0.149
112,15015,carper,0,8,100,439,-0.279,-0.107,0.031,0.147,0.437,-76.43013,409,30,0.83,-0.232,-0.382
112,29512,chambliss,0,10,200,467,0.529,0.101,0.036,0.194,0.07,-88.92377,397,39,0.799,0.449,0.09
112,14806,coats,0,14,200,525,0.444,-0.671,0.023,0.12,0.125,-95.37569,409,40,0.792,0.403,-0.266
112,29555,coburn,0,36,200,528,0.816,-0.166,0.143,0.252,0.837,-89.13425,383,45,0.792,0.673,-0.142
112,14009,cochran,0,24,200,529,0.331,-0.163,0.025,0.082,0.416,-130.91858,409,61,0.726,0.291,0.361
112,15502,conrad,0,34,100,570,-0.277,0.561,0.073,0.129,0.226,-61.89699,403,33,0.858,-0.285,0.334
112,29345,crapo,0,12,200,611,0.595,0.349,0.041,0.293,-0.107,-92.12836,403,40,0.796,0.591,0.361
112,49703,collins,0,19,200,549,0.035,-0.62,0.031,0.107,0.322,-109.66382,410,42,0.765,0.073,-0.532
112,40305,cornyn,0,43,200,588,0.575,-0.099,0.045,0.123,0.276,-80.2962,405,37,0.82,0.508,-0.156
